,DATE,SECCODE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
3413,2007-10-08,LKOH,12598,S,T,-23.162309175069208,2.5844924875307425e-05,2156.89
3435,2007-10-08,LKOH,12680,B,T,2.6966890349303485,0.0011674438004537148,2156.87
3445,2007-10-08,LKOH,12720,B,T,3.960237293570623,0.0010263343367057807,2156.0
3451,2007-10-08,LKOH,12737,B,T,4.7402794762022005,0.0022133480634379727,2156.3
3465,2007-10-08,LKOH,12789,S,T,-3.7037037037037037,0.0008842866829037024,2156.5
3475,2007-10-08,LKOH,12819,S,T,-10.539417746650262,0.004668849823640513,2156.75
3484,2007-10-08,LKOH,12864,S,T,0.0,0.005481725700668153,2156.0
3492,2007-10-08,LKOH,12895,S,T,-19.112339814475277,0.001033226765232226,2157.3
3506,2007-10-08,LKOH,12944,S,T,-0.5121767280843628,0.0048277839253366905,2158.0
3514,2007-10-08,LKOH,12995,B,T,-0.0006855448236428794,0.007904426039715218,2156.33
3517,2007-10-08,LKOH,13011,S,T,-0.5067004499500488,0.0029995359907012227,2171.0
3519,2007-10-08,LKOH,13015,S,T,-0.00018395282151065557,0.008518745190073255,2156.35
3522,2007-10-08,LKOH,13035,B,T,0.003709714815670171,0.0024299198420900704,2156.5
3531,2007-10-08,LKOH,13078,B,T,4.6369284985583346e-05,0.01019179142764882,2156.6
3538,2007-10-08,LKOH,13103,B,T,14.720374233177319,0.0012030240349237625,2158.0
3539,2007-10-08,LKOH,13105,S,T,-0.0001871017135695907,0.004934741891891921,2151.0
3544,2007-10-08,LKOH,13122,S,T,-0.0023186792802903865,0.007915427555864557,2156.4
3560,2007-10-08,LKOH,13183,S,T,0.007469130939193241,0.006868726140775927,2157.77
3564,2007-10-08,LKOH,13196,B,T,-0.005543586864791754,0.014187592770875078,2157.89
3568,2007-10-08,LKOH,13215,S,T,0.043567128138342064,0.0016954116797551987,2157.59
3577,2007-10-08,LKOH,13264,B,T,0.06493837487813392,0.0011446283026931828,2158.0
3589,2007-10-08,LKOH,13317,S,T,0.0013559740317503621,3.106011630184501e-05,2158.47
3595,2007-10-08,LKOH,13349,S,T,-100.0,0.014772141259071694,2158.46
3604,2007-10-08,LKOH,13380,S,T,-4.968371538044245,0.004453709724617933,2158.0
3617,2007-10-08,LKOH,13425,B,T,-0.003707273670939017,0.0037431770581400066,2157.92
3626,2007-10-08,LKOH,13468,B,T,0.03632223997429795,0.0018660569243307231,2158.0
3629,2007-10-08,LKOH,13476,S,T,-38.878120588459794,0.007577320840095865,2157.97
3643,2007-10-08,LKOH,13540,S,T,0.003243849429785198,0.006597431747982517,2157.93
3656,2007-10-08,LKOH,13597,B,T,0.0051005976973178884,0.0010443761267802264,2156.61
3697,2007-10-08,LKOH,13806,B,T,76.2786699774764,0.001570923976264167,2157.03
3701,2007-10-08,LKOH,13828,S,T,-0.0034449163296061736,0.0025119089192189746,2157.01
3709,2007-10-08,LKOH,13865,S,T,0.007400620368148845,0.006839205635924854,2156.79
3718,2007-10-08,LKOH,13923,B,T,0.000927205125589091,0.008360362723635417,2157.02
3721,2007-10-08,LKOH,13932,S,T,0.0,0.00766357685322177,2156.9
3722,2007-10-08,LKOH,13937,B,T,0.12546318345311333,0.0026948109137074944,2157.31
3723,2007-10-08,LKOH,13942,S,T,0.0026828083930937776,0.007355317783657729,2157.99
3730,2007-10-08,LKOH,13988,S,T,-100.0,0.01099736830814679,2156.61
3740,2007-10-08,LKOH,14039,S,T,-14.87970095875096,0.02869960950662348,2156.9
3744,2007-10-08,LKOH,14052,S,T,0.0013304560868365677,0.0023268443439303094,2155.0
3754,2007-10-08,LKOH,14085,S,T,-16.13797828211816,0.001715065467302798,2154.99
3760,2007-10-08,LKOH,14113,B,T,-0.07006635422951224,0.0033990384764891186,2155.1
3764,2007-10-08,LKOH,14133,S,T,-0.006693895468962567,0.00038770956071452426,2154.98
3765,2007-10-08,LKOH,14135,B,T,0.3134532974704539,0.0030551130213129535,2155.0
3781,2007-10-08,LKOH,14203,S,T,-18.481545888455525,0.002512141956304954,2154.97
3790,2007-10-08,LKOH,14244,S,T,6.630640188354405e-05,0.001677716675242639,2154.5
3795,2007-10-08,LKOH,14265,B,T,0.0032507941225718285,0.0013735355126245229,2153.32
3802,2007-10-08,LKOH,14304,B,T,0.38857340812097174,0.013591330712341572,2156.0
3806,2007-10-08,LKOH,14325,B,T,0.0037153830792132324,0.0014795070581363695,2153.21
3808,2007-10-08,LKOH,14336,B,T,0.010681627136906796,0.002684711335189599,2153.23
3810,2007-10-08,LKOH,14340,B,T,0.03316243624521967,0.003879868666919769,2153.9
3811,2007-10-08,LKOH,14345,B,T,0.0,0.010033597348741182,2154.5
3823,2007-10-08,LKOH,14423,S,T,0.07263855912605927,0.0002568399826798045,2154.3
3830,2007-10-08,LKOH,14459,S,T,-1.7675296529805415,0.0034034824998148165,2154.3
3835,2007-10-08,LKOH,14491,B,T,-0.12599281579159397,0.006394159703799101,2152.65
3840,2007-10-08,LKOH,14520,S,T,0.0,0.04364086875617535,2157.83
3847,2007-10-08,LKOH,14560,B,T,2.469221927899016,0.0019945325736658195,2153.2
3849,2007-10-08,LKOH,14565,S,T,0.0004641900579874705,0.0005039739701648647,2154.29
3855,2007-10-08,LKOH,14580,B,T,23.084068077566123,0.004304796202900669,2153.2
3858,2007-10-08,LKOH,14596,S,T,-96.11537715882874,0.017806562451470682,2154.0
3864,2007-10-08,LKOH,14621,B,T,-1.0316730859310721e-05,0.006200804388500284,2154.0
3889,2007-10-08,LKOH,14708,B,T,-0.6608549497391721,0.0036715697108251487,2153.13
3891,2007-10-08,LKOH,14715,S,T,-54.545243422572156,0.021922241527465355,2152.99
3896,2007-10-08,LKOH,14733,B,T,5.17562094433639,0.004197827484287958,2164.86
3898,2007-10-08,LKOH,14742,B,T,4.072264802922086,0.0034623291526864634,2153.9
3900,2007-10-08,LKOH,14751,B,T,9.095132411663982,0.018899205503075143,2152.55
3901,2007-10-08,LKOH,14756,S,T,-4.3672190033674285,0.006358774050483019,2152.9
3902,2007-10-08,LKOH,14759,B,T,-0.021356708095586888,0.004091052519942761,2153.89
3906,2007-10-08,LKOH,14776,S,T,-100.0,0.0025265843108477964,2152.88
3911,2007-10-08,LKOH,14795,B,T,-0.006421909865938595,0.0018218800114297613,2152.9
3912,2007-10-08,LKOH,14802,S,T,-5.67241634978789,0.00017725034179084877,2152.88
3926,2007-10-08,LKOH,14880,B,T,0.6488349993738537,7.444315786773571e-05,2152.5
3927,2007-10-08,LKOH,14890,S,T,-1.0856374940282358,0.010909205652521903,2156.1
3930,2007-10-08,LKOH,14898,S,T,-0.9005332548695735,0.011134997411104,2152.02
3933,2007-10-08,LKOH,14909,B,T,2.9048303433038054,0.008094178684563086,2158.46
3938,2007-10-08,LKOH,14921,B,T,-0.00028941115509322076,0.00020005606544772918,2151.98
3944,2007-10-08,LKOH,14964,S,T,-0.1335864528110348,0.006827097035885417,2151.97
3957,2007-10-08,LKOH,15007,B,T,26.656558125761737,0.0012120716839633414,2152.2
3964,2007-10-08,LKOH,15031,B,T,0.2781460977142544,0.000509007934239297,2152.7
3965,2007-10-08,LKOH,15033,B,T,0.0041819812368509455,0.0414966420073562,2152.09
3975,2007-10-08,LKOH,15073,B,T,0.004645760743321719,0.00018412535635005278,2152.5
3979,2007-10-08,LKOH,15085,S,T,-1.9485333967284089,0.0284627016775187,2152.7
3985,2007-10-08,LKOH,15128,S,T,0.0009290701401493856,0.0035893038283858437,2152.69
3994,2007-10-08,LKOH,15187,S,T,-5.842893512757204,0.011708470115840305,2154.0
4001,2007-10-08,LKOH,15207,B,T,0.004644681839294009,0.001039757520443066,2153.0
4009,2007-10-08,LKOH,15229,B,T,100.0,0.003433588563925388,2153.01
4016,2007-10-08,LKOH,15248,B,T,0.004180019506743337,0.01777200657320967,2153.1
4021,2007-10-08,LKOH,15268,B,T,0.012538486186766874,0.0048407164718044455,2153.88
4042,2007-10-08,LKOH,15344,B,T,52.65598761144242,0.006212232485132622,2154.11
4049,2007-10-08,LKOH,15391,B,T,0.02599138571216566,0.0011575525169584197,2154.8
4092,2007-10-08,LKOH,15599,B,T,9.197562776174959,0.021844509062072175,2156.75
4105,2007-10-08,LKOH,15664,B,T,0.006490827070452025,0.017117239908007197,2156.89
4108,2007-10-08,LKOH,15677,B,T,0.03403912453008105,0.0006617718437608819,2156.95
4129,2007-10-08,LKOH,15771,B,T,0.6981665906099827,0.0016572208287120485,2157.83
4133,2007-10-08,LKOH,15779,B,T,0.0023169601482881316,0.0009834396976953715,2158.0
4141,2007-10-08,LKOH,15814,B,T,0.12691958776295856,0.0020391581497671346,2159.7
4144,2007-10-08,LKOH,15827,B,T,0.017829145869530074,0.0004915105263805249,2158.97
4150,2007-10-08,LKOH,15867,S,T,-12.082696976964648,0.002097633359240459,2158.98
4162,2007-10-08,LKOH,15947,B,T,0.0005909446863557288,0.0025030053570370726,2158.07
4165,2007-10-08,LKOH,15965,B,T,-0.008338004159730048,0.0045434498210407135,2158.79
4174,2007-10-08,LKOH,16003,S,T,-14.60520268043906,0.00013455151589674018,2166.75
4175,2007-10-08,LKOH,16007,S,T,-47.365444190383215,0.003387102143878695,2158.89
4180,2007-10-08,LKOH,16029,B,T,0.0,0.00526080284555393,2158.11
4195,2007-10-08,LKOH,16083,S,T,-2.899626722733832,0.014301908047641261,2166.0
4203,2007-10-08,LKOH,16152,S,T,-100.0,0.002018493346060124,2157.74
4221,2007-10-08,LKOH,16216,S,T,-53.720795061448015,0.02062048271796234,2158.9
4239,2007-10-08,LKOH,16274,B,T,0.11507228483602522,0.0006752759145198307,2158.0
4244,2007-10-08,LKOH,16290,S,T,-0.41656851287718993,0.0003035289630788983,2157.63
4246,2007-10-08,LKOH,16294,B,T,4.264779117274087e-05,0.0006345770847199832,2157.53
4255,2007-10-08,LKOH,16338,B,T,99.99999999999999,0.006246528744489337,2157.22
4257,2007-10-08,LKOH,16343,B,T,5.9892062754950715,0.0011421050093220015,2157.53
4271,2007-10-08,LKOH,16402,B,T,0.4946808942076792,0.0017200783850466412,2157.6
4282,2007-10-08,LKOH,16460,B,T,-0.008033766538744885,0.0014716393943503335,2157.56
4286,2007-10-08,LKOH,16470,B,T,16.66890093427413,0.0015755245932212159,2157.12
4289,2007-10-08,LKOH,16478,S,T,-0.0018539976825012107,0.0006030157641596761,2157.5
4292,2007-10-08,LKOH,16489,B,T,0.09364771768458251,0.00015006200925387795,2157.02
4294,2007-10-08,LKOH,16507,S,T,0.0017362574380957877,0.018405282054836023,2157.2
4296,2007-10-08,LKOH,16511,B,T,-0.004395354988852874,6.463899318565172e-05,2157.45
4306,2007-10-08,LKOH,16547,S,T,0.009350241629026267,0.009672355781956828,2157.7
4312,2007-10-08,LKOH,16565,S,T,0.013440860215052077,0.0008098210478935478,2157.6
4317,2007-10-08,LKOH,16581,S,T,0.0639658848614123,0.0007537658667926635,2157.4
4319,2007-10-08,LKOH,16587,S,T,0.03219044381607878,0.004908819108138446,2157.3
4326,2007-10-08,LKOH,16618,S,T,0.012489210602429504,0.001142670639125472,2157.1
4329,2007-10-08,LKOH,16632,S,T,0.06947580075650223,0.0004205877907297921,2157.18
4339,2007-10-08,LKOH,16686,B,T,0.03817211788105786,0.0005351482518022065,2157.0
4343,2007-10-08,LKOH,16701,B,T,0.007211390207160619,0.0068589395576065006,2156.0
4351,2007-10-08,LKOH,16725,B,T,100.0,4.080853399196799e-05,2156.0
4353,2007-10-08,LKOH,16730,B,T,2.2670603439521444,8.877989185618352e-05,2157.79
4356,2007-10-08,LKOH,16743,S,T,0.0004636111600368817,0.004671768657321033,2156.98
4359,2007-10-08,LKOH,16755,S,T,0.0004636133094210063,0.006226350803646167,2156.97
4374,2007-10-08,LKOH,16821,B,T,5.88492470894808,0.002224284768695744,2156.01
4377,2007-10-08,LKOH,16840,B,T,0.0018552531492905336,0.0026661090520923927,2156.04
4401,2007-10-08,LKOH,16923,B,T,0.04496965707160627,0.002846806787182065,2157.01
4418,2007-10-08,LKOH,16993,S,T,-100.0,0.012969015269637604,2158.82
4430,2007-10-08,LKOH,17030,S,T,-100.0,0.0007397965567547297,2158.77
4432,2007-10-08,LKOH,17035,S,T,-1.2494973039039212,0.001935124734796804,2158.5
4437,2007-10-08,LKOH,17050,B,T,-0.02651911845334018,0.011173755316758141,2158.76
4445,2007-10-08,LKOH,17073,S,T,-100.0,0.011093278316976258,2158.5
4449,2007-10-08,LKOH,17087,S,T,0.0016800673248865163,0.014531789908069005,2158.49
4460,2007-10-08,LKOH,17146,S,T,5.6831888040179077e-05,0.00046972769117723765,2157.97
4464,2007-10-08,LKOH,17166,B,T,0.005663920875910423,0.0009549542457697941,2158.3
4475,2007-10-08,LKOH,17201,S,T,-3.79972901626801,0.0041949766899263725,2158.51
4479,2007-10-08,LKOH,17213,B,T,0.024550335135223495,1.0140509680986727e-05,2158.83
4500,2007-10-08,LKOH,17304,S,T,0.06717472377289468,0.007037672340300798,2158.55
4503,2007-10-08,LKOH,17314,B,T,0.0,0.06478324153783546,2179.01
4515,2007-10-08,LKOH,17368,S,T,-100.0,0.00783649704389944,2158.4
4517,2007-10-08,LKOH,17376,S,T,-33.311711377781904,0.05489346834406086,2158.3
4524,2007-10-08,LKOH,17403,B,T,-0.03391704803381462,0.004876612351074887,2157.1
4526,2007-10-08,LKOH,17407,B,T,1.0403480670537633,0.009339280705162517,2157.0
4527,2007-10-08,LKOH,17409,S,T,-100.0,0.02104016481392397,2158.0
4542,2007-10-08,LKOH,17466,S,T,0.00463415651399789,0.003200787141549997,2157.89
4551,2007-10-08,LKOH,17499,S,T,-100.0,6.195875873711371e-05,2157.8
4556,2007-10-08,LKOH,17514,B,T,0.025626132722725927,0.002683232996009188,2157.01
4561,2007-10-08,LKOH,17535,S,T,-0.4552173316291197,0.001355688278240842,2158.0
4563,2007-10-08,LKOH,17539,S,T,0.0004634371278121726,0.01169357132017206,2157.79
4568,2007-10-08,LKOH,17555,S,T,-90.90411928526588,0.011379137367593226,2157.7
4572,2007-10-08,LKOH,17570,S,T,-100.0,0.033550286322088445,2157.6
4579,2007-10-08,LKOH,17593,S,T,-0.02706003713871996,0.010107881841312762,2157.1
4589,2007-10-08,LKOH,17635,S,T,0.01390369374798081,0.0098150669000595,2157.7
4603,2007-10-08,LKOH,17678,S,T,0.004636283555098013,0.022160500912260288,2156.9
4616,2007-10-08,LKOH,17715,B,T,57.86451566847169,0.00061697826270501,2157.0
4625,2007-10-08,LKOH,17747,B,T,90.90921739130435,0.0010778157243845937,2156.25
4637,2007-10-08,LKOH,17782,B,T,100.0,0.0033901797713872753,2156.26
4662,2007-10-08,LKOH,17883,S,T,-3.1917190287356876,0.007806603734636383,2157.64
4677,2007-10-08,LKOH,17931,S,T,4.8649920988236905,0.001782464751295966,2157.09
4693,2007-10-08,LKOH,18003,S,T,0.045897079276763175,0.001013474084662329,2157.0
4711,2007-10-08,LKOH,18064,S,T,-100.0,0.018411577113478704,2156.95
4717,2007-10-08,LKOH,18097,S,T,0.005100053782370161,0.03431607879042214,2156.84
4752,2007-10-08,LKOH,18225,S,T,-0.017648065928289,0.00435825508503705,2157.1
4756,2007-10-08,LKOH,18248,S,T,0.021972009539031216,0.07475711930961822,2156.7
4761,2007-10-08,LKOH,18269,B,T,0.026511486101356427,0.023893863083056736,2155.4
4772,2007-10-08,LKOH,18305,S,T,-20.759252801162706,0.0052829877824720406,2156.89
4774,2007-10-08,LKOH,18311,B,T,100.0,0.0007048115402594488,2155.51
4796,2007-10-08,LKOH,18386,B,T,82.35288579371147,0.003919848834008194,2155.74
4797,2007-10-08,LKOH,18389,S,T,0.0,0.09031776429216824,2156.0
4823,2007-10-08,LKOH,18484,S,T,5.009528490418186,0.00038724407362051265,2156.69
4827,2007-10-08,LKOH,18500,S,T,0.05803643903151983,0.009616317851627271,2156.97
4836,2007-10-08,LKOH,18529,S,T,-50.08040894584047,0.02053474271640914,2155.99
4859,2007-10-08,LKOH,18619,S,T,-0.9099325127104054,0.011115783980052132,2154.21
4864,2007-10-08,LKOH,18637,S,T,-42.087038650197904,0.0070750837607238635,2171.19
4873,2007-10-08,LKOH,18679,S,T,0.09669609810989722,0.12186373261960043,2155.9
4877,2007-10-08,LKOH,18695,S,T,-74.99895634749454,0.08151353044498874,2155.89
4892,2007-10-08,LKOH,18774,S,T,-0.002318159254080687,0.014943456740844529,2153.52
4909,2007-10-08,LKOH,18841,S,T,0.010895948330023433,0.0027227852372155225,2156.77
4916,2007-10-08,LKOH,18878,B,T,100.0,0.10686095663561407,2154.11
4952,2007-10-08,LKOH,18998,S,T,-50.484537418048674,0.011514245052946343,2155.89
4969,2007-10-08,LKOH,19072,B,T,-0.0012855188062423865,0.05047375926298686,2155.0
4973,2007-10-08,LKOH,19083,B,T,97.56175683666957,0.08633300026062539,2154.21
4975,2007-10-08,LKOH,19090,S,T,0.005219067457035217,0.001812745022479697,2155.58
4986,2007-10-08,LKOH,19135,S,T,0.0,0.00014843531796330403,2155.0
4987,2007-10-08,LKOH,19137,B,T,6.24343353664174e-05,0.001928169831329784,2154.34
4993,2007-10-08,LKOH,19161,S,T,-100.0,0.0005301043338278469,2154.94
4998,2007-10-08,LKOH,19182,S,T,0.03295734113169179,0.0009777067349642516,2154.3
5001,2007-10-08,LKOH,19192,S,T,-7.912982981935293,0.007832740186063674,2156.1
5014,2007-10-08,LKOH,19269,S,T,-100.00000000000001,0.0012074309071913858,2154.98
5019,2007-10-08,LKOH,19294,B,T,-0.015123098336506538,0.004082789874378468,2151.01
5024,2007-10-08,LKOH,19326,B,T,1.0618668709288916,0.002108603245143675,2151.0
5027,2007-10-08,LKOH,19359,B,T,1.9604377758395977,0.0032552681121443047,2150.12
5041,2007-10-08,LKOH,19416,S,T,-100.0,0.011119579269241175,2153.49
5055,2007-10-08,LKOH,19454,B,T,0.0004226344410815164,0.007740779295749825,2151.01
5065,2007-10-08,LKOH,19493,S,T,-0.24708112024238676,0.0004912508930628025,2155.36
5066,2007-10-08,LKOH,19495,B,T,0.05715893431039596,0.0021688968267414128,2154.0
5068,2007-10-08,LKOH,19514,S,T,0.0013921307489292236,0.023266577482356183,2154.97
5077,2007-10-08,LKOH,19559,B,T,0.02763887372750641,0.07669254926822183,2153.4
5079,2007-10-08,LKOH,19568,S,T,-0.1494704586104802,0.060759773538106514,2154.0
5099,2007-10-08,LKOH,19638,B,T,100.0,0.005607139937644014,2153.4
5113,2007-10-08,LKOH,19716,S,T,0.0,0.022420040136680287,2153.4
5116,2007-10-08,LKOH,19729,S,T,-0.058412091392516755,0.0019527959168580634,2154.9
5117,2007-10-08,LKOH,19731,S,T,0.0013859602606095835,0.008738869859611902,2154.0
5164,2007-10-08,LKOH,19896,S,T,-100.00000000000001,0.043561463895277,2152.53
5174,2007-10-08,LKOH,19933,B,T,-0.0008294898810506167,0.006540329788592574,2151.99
5195,2007-10-08,LKOH,20051,B,T,0.0012917114419292361,0.003754192313345263,2149.0
5196,2007-10-08,LKOH,20055,B,T,6.309256168521862,0.03436157861153799,2149.51
5201,2007-10-08,LKOH,20074,S,T,-99.99999999999999,0.10161190886571743,2151.88
5212,2007-10-08,LKOH,20144,B,T,0.00046533054756461243,0.03389816688037641,2149.01
5216,2007-10-08,LKOH,20156,B,T,4.405191081184596,0.0028713304640896496,2153.0
5226,2007-10-08,LKOH,20189,S,T,-0.0169215120792192,0.015752967276842965,2150.2
5235,2007-10-08,LKOH,20221,B,T,0.02222935435133659,0.00986115585960003,2150.51
5236,2007-10-08,LKOH,20226,B,T,100.0,0.06723276190701667,2149.41
5243,2007-10-08,LKOH,20259,B,T,-0.06649770978168715,0.1190556512094623,2150.45
5258,2007-10-08,LKOH,20324,B,T,0.8727806776794625,0.00322351365985872,2152.17
5271,2007-10-08,LKOH,20372,S,T,0.3443964695876005,0.23080270043979495,2151.59
5274,2007-10-08,LKOH,20379,B,T,0.0,0.06169545545347124,2149.5
5279,2007-10-08,LKOH,20392,B,T,80.0826477048509,0.008246203506755036,2148.88
5281,2007-10-08,LKOH,20397,S,T,-100.0,0.012299718250625149,2151.5
5296,2007-10-08,LKOH,20464,S,T,0.0,0.0405637427055688,2149.8
5302,2007-10-08,LKOH,20505,S,T,0.0,0.019460271885786015,2149.79
5304,2007-10-08,LKOH,20522,B,T,-0.07008034432396401,0.01729900203662111,2150.0
5305,2007-10-08,LKOH,20530,B,T,-0.0009296272194841411,0.016062217274079638,2151.4
5309,2007-10-08,LKOH,20541,B,T,2.6424941033770493,3.32855334012575e-05,2150.0
5310,2007-10-08,LKOH,20547,S,T,0.02815596252848594,0.0009465868584409687,2151.0
5314,2007-10-08,LKOH,20559,B,T,3.694280268550193,0.0030296551209162857,2151.3
5324,2007-10-08,LKOH,20592,B,T,0.0,0.004480656158490726,2149.57
5333,2007-10-08,LKOH,20624,B,T,0.005256760170315306,0.0002585644313447667,2149.73
5334,2007-10-08,LKOH,20626,B,T,-0.03570892723180979,0.003702824678822483,2150.0
5349,2007-10-08,LKOH,20678,B,T,4.915108926858468,0.0006993539269459084,2151.5
5351,2007-10-08,LKOH,20682,S,T,-0.0015619564894958876,0.0014415032735837102,2150.5
5384,2007-10-08,LKOH,20785,B,T,100.0,0.0008543743205748378,2150.66
5391,2007-10-08,LKOH,20814,B,T,1.2908858029918648,1.1929913396997129e-05,2152.9
5398,2007-10-08,LKOH,20838,B,T,0.004648784342890106,0.0009330684144408358,2151.1
5410,2007-10-08,LKOH,20885,S,T,-0.0007705276314124122,0.0027507940550390293,2151.65
5412,2007-10-08,LKOH,20896,B,T,0.0,0.008144820209382009,2151.67
5420,2007-10-08,LKOH,20939,S,T,-52.17127506470998,0.00037823916780009754,2152.52
5424,2007-10-08,LKOH,20954,S,T,-100.0,0.0026118909069884795,2152.96
5429,2007-10-08,LKOH,20970,S,T,-18.698809373706297,0.0008222662019727763,2152.99
5452,2007-10-08,LKOH,21066,B,T,84.61538461538461,0.0004998181563851935,2152.0
5455,2007-10-08,LKOH,21077,S,T,0.00464491915517788,0.0015763063572594215,2152.89
5466,2007-10-08,LKOH,21112,S,T,2.9042126767193894e-05,0.0012894107648389757,2152.05
5486,2007-10-08,LKOH,21174,S,T,0.0,0.009554514412793126,2151.0
5487,2007-10-08,LKOH,21176,B,T,6.919098291646549,0.001471489319482304,2152.0
5520,2007-10-08,LKOH,21285,B,T,-0.02092196108516507,0.0006255844039247024,2150.85
5528,2007-10-08,LKOH,21317,S,T,0.029223821289387296,0.0004767499873770885,2151.99
5552,2007-10-08,LKOH,21421,B,T,16.42990227857583,0.0025024722757157184,2150.23
5583,2007-10-08,LKOH,21529,B,T,0.004650513881800856,0.0017227303231983414,2150.3
5602,2007-10-08,LKOH,21590,S,T,-3.8461538461538463,0.0036118111504608212,2151.8
5622,2007-10-08,LKOH,21651,S,T,-1.9607843137254903,9.40764215916229e-05,2151.57
5623,2007-10-08,LKOH,21658,B,T,0.0044652797553468284,0.0009102999572769393,2151.57
5649,2007-10-08,LKOH,21749,B,T,0.006505455288929232,0.002413874471779228,2152.04
5658,2007-10-08,LKOH,21796,B,T,0.5964214711729622,0.002671336589785617,2153.01
5663,2007-10-08,LKOH,21811,S,T,-0.10993318362332671,0.0021094651788766275,2151.5
5667,2007-10-08,LKOH,21825,B,T,0.0,0.0018394385213525552,2153.06
5669,2007-10-08,LKOH,21830,S,T,-0.0029900107410473407,0.00404758064424428,2152.99
5672,2007-10-08,LKOH,21843,B,T,0.08300245679009782,0.0005879382693001649,2154.0
5682,2007-10-08,LKOH,21873,B,T,0.005255449728348335,0.00093424746228208,2153.83
5696,2007-10-08,LKOH,21924,S,T,0.0,0.0005579697426492977,2152.96
5716,2007-10-08,LKOH,22010,S,T,-100.0,0.0038759827795869033,2153.98
5727,2007-10-08,LKOH,22048,B,T,-0.0013655364607524638,0.000414188646975616,2153.0
5731,2007-10-08,LKOH,22067,S,T,0.0,0.0065129526735780525,2153.0
5745,2007-10-08,LKOH,22127,S,T,-33.098591549295776,0.0003451403528394042,2153.0
5749,2007-10-08,LKOH,22138,B,T,54.40012563795263,0.004180741065471419,2152.0
5757,2007-10-08,LKOH,22176,B,T,53.21419526724877,0.007937139586160576,2152.02
5764,2007-10-08,LKOH,22197,B,T,-0.007012398325828612,0.0010395089382803904,2153.0
5772,2007-10-08,LKOH,22221,B,T,-0.009929145616877959,0.00015807357318229468,2152.0
5778,2007-10-08,LKOH,22241,S,T,-5.170026289776567,0.008317249526952722,2152.01
5783,2007-10-08,LKOH,22261,B,T,4.773905983658409,0.000342313459334516,2152.41
5792,2007-10-08,LKOH,22301,S,T,0.0,0.0007386769173264092,2152.99
5807,2007-10-08,LKOH,22358,S,T,0.012542213840099865,0.004232520231826494,2152.73
5812,2007-10-08,LKOH,22373,B,T,-0.02316162286787811,0.007737324537557098,2184.9
5820,2007-10-08,LKOH,22404,B,T,-0.0029870723987164864,0.005984798356036544,2152.9
5830,2007-10-08,LKOH,22439,S,T,-0.4969133778959093,0.0008186072987558988,2153.02
5841,2007-10-08,LKOH,22476,B,T,0.04552718623407378,0.00041992887676183346,2153.0
5908,2007-10-08,LKOH,22717,B,T,0.0004644660266426202,0.0088769606986787,2153.01
5912,2007-10-08,LKOH,22728,B,T,0.02351834430855541,0.01722685402904207,2153.33
5930,2007-10-08,LKOH,22795,S,T,-92.85647034173918,0.005223912997598243,2154.69
5941,2007-10-08,LKOH,22828,S,T,-5.774201725223975,0.0016354315384942437,2152.62
5945,2007-10-08,LKOH,22838,S,T,0.002321316650812781,0.008635401280313877,2153.95
5959,2007-10-08,LKOH,22875,B,T,0.009752880582945295,0.002175538922900169,2153.21
5965,2007-10-08,LKOH,22897,S,T,-11.34051179903243,0.003087685186310186,2154.57
5968,2007-10-08,LKOH,22906,B,T,0.22971503583716846,0.0033466148653224295,2154.79
5970,2007-10-08,LKOH,22914,S,T,-0.05679760060400827,0.0010598865468036127,2154.0
5971,2007-10-08,LKOH,22920,B,T,57.61538733562143,0.0005089265484027202,2153.03
6005,2007-10-08,LKOH,23093,S,T,4.3573207405950424e-05,0.0013653249179196227,2154.0
6016,2007-10-08,LKOH,23133,B,T,0.0006387127347028634,0.0014072536625517249,2153.16
6019,2007-10-08,LKOH,23141,B,T,0.01834185029799618,0.00036260747003737657,2153.58
6027,2007-10-08,LKOH,23166,S,T,0.002321316650812781,0.0006093428992627048,2153.95
6028,2007-10-08,LKOH,23172,S,T,0.6077319850875917,0.0008672943902126626,2153.91
6029,2007-10-08,LKOH,23177,B,T,0.6530039663033749,0.004690439791337845,2154.01
6042,2007-10-08,LKOH,23235,S,T,0.010067266678796465,0.002405508586993508,2153.83
6047,2007-10-08,LKOH,23254,S,T,0.0,0.00035889390480127676,2153.0
6054,2007-10-08,LKOH,23290,S,T,0.014238418392000664,0.00208547052362449,2152.99
6066,2007-10-08,LKOH,23338,S,T,-9.73978139946738,0.003571148317463285,2153.0
6068,2007-10-08,LKOH,23348,S,T,-100.0,0.0013123868547157713,2152.0
6076,2007-10-08,LKOH,23367,B,T,0.0,0.00017491451691168842,2151.52
6089,2007-10-08,LKOH,23410,B,T,0.29513224290188117,0.0029354567504327545,2163.75
6101,2007-10-08,LKOH,23466,B,T,0.0004648136097526391,6.791529079969105e-05,2151.4
6115,2007-10-08,LKOH,23530,S,T,0.02415818033152372,0.001987060861965817,2152.48
6119,2007-10-08,LKOH,23548,S,T,-6.97026346195917e-05,0.00046506988042100425,2152.0
6151,2007-10-08,LKOH,23651,S,T,-100.0,0.0003312751074412733,2151.84
6152,2007-10-08,LKOH,23653,B,T,0.0,0.004610322214865287,2151.02
6162,2007-10-08,LKOH,23686,S,T,-100.0,0.00013458066084635144,2151.6
